0.21997,0.40788
0.92616,0.76468
0.18058,0.30396
0.37555,0.89111
0.88326,0.84992
0.27259,0.85387
0.59971,0.58394
0.96722,0.42059
0.78663,0.07333
0.99406,0.28668
0.81612,0.73868
0.85814,0.52158
0.35621,0.79769
0.95267,0.19350
0.53770,0.77143
0.14354,0.26729
0.13867,0.34404
0.51544,0.33859
0.32943,0.21444
0.36606,0.65854
0.69782,0.77593
0.76088,0.54000
0.39593,0.89623
0.12870,0.51551
0.37907,0.86709
0.79347,0.90281
0.18879,0.88093
0.72374,0.78073
0.52424,0.25219
0.10864,0.97190
0.01544,0.61967
0.95864,0.85599
0.56620,0.29569
0.82252,0.33221
0.47816,0.89889
0.13326,0.58069
0.61384,0.26118
0.79410,0.57116
0.37196,0.65655
0.81877,0.72104
0.60651,0.34226
0.03588,0.12504
0.66747,0.78829
0.62587,0.97053
0.19804,0.03816
0.19516,0.41595
0.48302,0.16347
0.65017,0.52365
0.86456,0.88088
0.48009,0.01775
0.79744,0.52375
0.11094,0.86610
0.29594,0.65517
0.48035,0.03487
0.05157,0.31212
0.86132,0.42454
0.79735,0.98622
0.82915,0.53660
0.38804,0.40237
0.10710,0.74955
0.09998,0.35050
0.27460,0.54647
0.27765,0.74480
0.83530,0.20371
0.75215,0.06004
0.63635,0.43522
0.43150,0.02206
0.98278,0.91442
0.55239,0.07387
0.84420,0.81271
0.48285,0.25677
0.17634,0.89176
0.17695,0.41016
0.66071,0.63146
0.46825,0.08618
0.49796,0.09697
0.58798,0.73882
0.78192,0.10516
0.93452,0.08067
0.33119,0.58592
0.23696,0.29914
0.39784,0.79112
0.37870,0.92207
0.98763,0.08717
0.85629,0.16713
0.53503,0.71750
0.42435,0.93563
0.98521,0.68471
0.89619,0.36663
0.56096,0.00580
0.79142,0.23578
0.40839,0.96293
0.09220,0.36196
0.77726,0.71319
0.27053,0.15135
0.60043,0.94128
0.54496,0.62728
0.09364,0.87064
0.91410,0.35428
0.08834,0.29917
